"MDC","PDC","CTYPE","HIERAR","CNAME"
"12","12A","D",,"Malignancy, male reproductive system"
"12","12B","D",,"Benign prostatic hypertrophy"
"12","12C","D",,"Inflammation of the male reproductive system"
"12","12D","D",,"Sterilization, male"
"12","12E","D",,"Other male reproductive system diagnoses"
"12","12PA","P","01","Major male pelvic procedures"
"12","12PB","P","02","Transurethral prostatectomy"
"12","12PC","P","05","Testis procedure"
"12","12PD","P","03","Penis procedure"
"12","12PE","P","07","Circumcision"
"12","12PF","P","04","Other male reproductive system OR procedures"
"12","12PG","P","06","Cystourethroscopy"
"13","13A","D",,"Non ovarian/adnexal malignancy"
"13","13B","D",,"Non ovarian/adnexal CA in situ"
"13","13C","D",,"Ovarian/adnexal malignancy"
"13","13D","D",,"Female lower genitourinary tract infection"
"13","13E","D",,"Female pelvic infection"
"13","13F","D",,"Menstrual & other female reproductive system disorders"
"13","13PA","P","02","Radical hysterect & radical vulvectomy"
"13","13PB","P","04","Uterine & adnexal procedures"
"13","13PC","P","10","Female reproductive system reconstructive proc"
"13","13PD","P","12","Vaginal, cervix & vulva procedures"
"13","13PE","P","13","Incisional tubal interruption"
"13","13PF","P","11","Endoscopic tubal interruption"
"13","13PG","P","14","D & C and other uterine proc"
"13","13PH","P","05","Other female reproductive system OR procedures"
"13","13PJ","P","01","Pelvic evisceration"
"13","13PK","P","03","Lap uterine and adnexal procedures"
"14","14A","D",,"Labour and Delivery"
"14","14B","D",,"Pregnancy with complication"
"14","14C","D",,"Postpartum/Post Abortion/Delivery"
"14","14D","D",,"Postpartum/Post Abortion Condition"
"14","14E","D",,"Antenatal condition"
"14","14F","D",,"Ectopic Pregnancy"
"14","14G","D",,"Threatened abortion"
"14","14H","D",,"Abortion"
"14","14J","D",,"False labour"
"14","14K","D",,"Complicated abortion"
"14","14L","D",,"Molar pregnancy"
"16","16A","D",,"Red blood cell disorders"
"16","16B","D",,"Coagulation Disorders"
"16","16C","D",,"Reticuloendothelial and immunity disorders"
"16","16PA","P","01","Splenectomy"
"16","16PB","P","02","Major OR proc for blood and blood forming organ except splenectomy"
"16","16PC","P","03","Minor OR proc for blood and blood forming organ except splenectomy"
"17","17A","D",,"Acute leukemia"
"17","17B","D",,"Lymphoma & Non-acute Leukemia"
"17","17C","D",,"Other neoplastic disorders"
"17","17PA","P","01","Major OR Proc for Neoplastic Disorders"
"18","18A","D",,"Septicemia"
"18","18B","D",,"Postoperative & Post-traumatic Infections"
"18","18C","D",,"Malaria"
"18","18D","D",,"Dengue"
"18","18E","D",,"Fever of Unknown Origin"
"18","18F","D",,"Viral Illness except Dengue"
"18","18G","D",,"Fungal Diseases"
"18","18H","D",,"Other Infectious and Parasitic Diseases"
"18","18J","D",,"Melioidosis"
"18","18K","D",,"Leptospirosis"
"19","19A","D",,"Acute Psychotic Disorders"
"19","19B","D",,"Chronic Psychotic Disorders"
"19","19C","D",,"Major Affective Disorders"
"19","19D","D",,"Other Affect and Somatoform Disorders"
"19","19E","D",,"Acute Reaction and Psychosocial Dysfunction"
"19","19F","D",,"Anxiety Disorders"
"19","19G","D",,"Eating and Obscessive compulsive Disorders"
"19","19H","D",,"Personality and Impulse Control Disorders"
"19","19J","D",,"Childhood Mental Disorders"
"19","19K","D",,"Organic disturbance and Mental Retardation"
"19","19L","D",,"Other Mental Disorders"
"19","19M","D",,"Sexual Dysfunction"
"20","20A","D",,"Alcohol Intoxication and Withdrawal"
"20","20B","D",,"Drug Use Disorders and Withdrawal"
"20","20C","D",,"Alcohol Use Disorders and Dependence"
"20","20D","D",,"Opioid Use Disorders and Dependence"
"20","20E","D",,"Psychostimulant Use Disorders and Dependence"
"20","20F","D",,"Other Drug Use Disorders and Intoxication"
"21","21PF","P","01","Multiple wound debridement"
"21","21A","D",,"Traumatic injury"
"21","21B","D",,"Allergic reactions"
"21","21C","D",,"Poisoning and toxic effects of drugs"
"21","21D","D",,"Complications of treatment"
"21","21E","D",,"Other injury, poisoning & toxic effect diag"
"21","21PA","P","06","Wound debridements for injuries"
"21","21PB","P","02","Skin grafts for injuries"
"21","21PC","P","05","Hand procedures for injuries"
"21","21PD","P","04","Other OR procedures for injuries"
"21","21PE","P","03","Proc comb in other OR procedures for injury"
"22","22A","D",,"Extensive 3rd degree burns"
"22","22B","D",,"Full thickness burns"
"22","22C","D",,"Non-extensive burns"
"22","22PA","P","01","Skin graft for burns"
"23","23A","D",,"Rehabilitation"
"23","23B","D",,"Signs, Symptoms and Other Abnormal Findings"
"23","23C","D",,"Aftercare"
"23","23D","D",,"Other Factors Influenzing Health Status"
"25","25A","D",,"HIV Diseases"
"00","0PA","P","01","Liver transplant"
"00","0PB","P","02","Heart and/or lung transplant"
"00","0PD","P","04","Bone marrow transplant"
"28","28PB","P","02","KUB ESWL"
"28","28PC","P","04","Cardiac cath & CAG"
"28","28PD","P","06","Cataract Proc"
"28","28PE","P","08","Radio-implant"
"28","28PF","P","10","Dialysis AV shunt"
"28","28PG","P","12","Closed red int fix"
"28","28PH","P","14","Hernia repair"
"28","28PJ","P","16","Hydrocelectomy"
"28","28PK","P","20","Cystoscopy"
"28","28PL","P","22","Mouth &Tongue proc"
"28","28PM","P","24","Tendon proc"
"28","28PN","P","26","Esophageal proc"
"28","28PP","P","28","Circum & oth penile proc"
"28","28PQ","P","30","Plastc skin proc"
"28","28PR","P","32","Remove implant"
"28","28PS","P","34","Dilation and curettage"
"28","28PT","P","36","Breast procedures"
"28","28PU","P","38","Female sterilization"
"28","28PV","P","40","Colonoscopy"
"28","28PW","P","42","Amputation"
"28","28PX","P","44","Ear, Nose Pharynx proc"
"28","28PY","P","46","Debride open fracture"
"28","28PZ","P","48","Gastroscopy"
"28","28QA","P","50","Skin & nail proc"
"28","28QB","P","52","Cervical proc"
"28","28QC","P","54","Hemodialysis"
"28","28QD","P","56","Other eye proc"
"28","28QE","P","58","Carpal tunnel release"
"28","28QF","P","60","Closed reduc disloc"
"28","28QG","P","62","Closed fx reduct"
"28","28QH","P","64","Vulvar & vaginal proc"
"28","28QJ","P","66","Bartholin gl proc"
"28","28QK","P","68","Urethral proc"
"04","4PD","P","10","Ventilator support"
"04","4PE","P","12","Noninvasive mech ventilation"
