"code","validcode","todel","desc"
"A681","TRUE",,"Tick-borne relapsing fever"
"A689","TRUE",,"Relapsing fever, unspecified"
"A69","FALSE",,"Other spirochaetal infections"
"A690","TRUE",,"Necrotizing ulcerative stomatitis"
"A691","TRUE",,"Other Vincent's infections"
"A692","TRUE",,"Lyme disease"
"A698","TRUE",,"Other specified spirochaetal infections"
"A699","TRUE",,"Spirochaetal infection, unspecified"
"A70","TRUE",,"Chlamydia psittaci infection"
"A71","FALSE",,"Trachoma"
"A710","TRUE",,"Initial stage of trachoma"
"A711","TRUE",,"Active stage of trachoma"
"A719","TRUE",,"Trachoma, unspecified"
"A74","FALSE",,"Other diseases caused by chlamydiae"
"A740","TRUE",,"Chlamydial conjunctivitis (H13.1*)"
"A748","TRUE",,"Other chlamydial diseases"
"A749","TRUE",,"Chlamydial infection, unspecified"
"A75","FALSE",,"Typhus fever"
"A750","TRUE",,"Epidemic louse-borne typhus fever due to Rickettsia prowazekii"
"A751","TRUE",,"Recrudescent typhus [Brill's disease]"
"A752","TRUE",,"Typhus fever due to Rickettsia typhi"
"A753","TRUE",,"Typhus fever due to Rickettsia tsutsugamushi"
"A759","TRUE",,"Typhus fever, unspecified"
"A77","FALSE",,"Spotted fever [tick-borne rickettsioses]"
"A770","TRUE",,"Spotted fever due to Rickettsia rickettsii"
"A771","TRUE",,"Spotted fever due to Rickettsia conorii"
"A772","TRUE",,"Spotted fever due to Rickettsia siberica"
"A773","TRUE",,"Spotted fever due to Rickettsia australis"
"A778","TRUE",,"Other spotted fevers"
"A779","TRUE",,"Spotted fever, unspecified"
"A78","TRUE",,"Q fever"
"A79","FALSE",,"Other rickettsioses"
"A790","TRUE",,"Trench fever"
"A791","TRUE",,"Rickettsialpox due to Rickettsia akari"
"A798","TRUE",,"Other specified rickettsioses"
"A799","TRUE",,"Rickettsiosis, unspecified"
"A80","FALSE",,"Acute poliomyelitis"
"A800","TRUE",,"Acute paralytic poliomyelitis, vaccine associated"
"A801","TRUE",,"Acute paralytic poliomyelitis, wild virus imported"
"A802","TRUE",,"Acute paralytic poliomyelitis, wild virus indigenous"
"A803","TRUE",,"Acute paralytic poliomyelitis, other and unspecified"
"A804","TRUE",,"Acute nonparalytic poliomyelitis"
"A809","TRUE",,"Acute poliomyelitis, unspecified"
"A81","FALSE",,"Slow virus infections of central nervous system"
"A810","TRUE",,"Creutzfeldt-Jakob disease"
"A811","TRUE",,"Subacute sclerosing panencephalitis"
"A812","TRUE",,"Progressive multifocal leukoencephalopathy"
"A818","TRUE",,"Other slow virus infections of central nervous system"
"A819","TRUE",,"Slow virus infection of central nervous system, unspecified"
"A82","FALSE",,"Rabies"
"A820","TRUE",,"Sylvatic rabies"
"A821","TRUE",,"Urban rabies"
"A829","TRUE",,"Rabies, unspecified"
"A83","FALSE",,"Mosquito-borne viral encephalitis"
"A830","TRUE",,"Japanese encephalitis"
"A831","TRUE",,"Western equine encephalitis"
"A832","TRUE",,"Eastern equine encephalitis"
"A833","TRUE",,"St Louis encephalitis"
"A834","TRUE",,"Australian encephalitis"
"A835","TRUE",,"California encephalitis"
"A836","TRUE",,"Rocio virus disease"
"A838","TRUE",,"Other mosquito-borne viral encephalitis"
"A839","TRUE",,"Mosquito-borne viral encephalitis, unspecified"
"A84","FALSE",,"Tick-borne viral encephalitis"
"A840","TRUE",,"Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]"
"A841","TRUE",,"Central European tick-borne encephalitis"
"A848","TRUE",,"Other tick-borne viral encephalitis"
"A849","TRUE",,"Tick-borne viral encephalitis, unspecified"
"A85","FALSE",,"Other viral encephalitis, not elsewhere classified"
"A850","TRUE",,"Enteroviral encephalitis (G05.1*)"
"A851","TRUE",,"Adenoviral encephalitis (G05.1*)"
"A852","TRUE",,"Arthropod-borne viral encephalitis, unspecified"
"A858","TRUE",,"Other specified viral encephalitis"
"A86","TRUE",,"Unspecified viral encephalitis"
"A87","FALSE",,"Viral meningitis"
"A870","TRUE",,"Enteroviral meningitis (G02.0*)"
"A871","TRUE",,"Adenoviral meningitis (G02.0*)"
"A872","TRUE",,"Lymphocytic choriomeningitis"
"A878","TRUE",,"Other viral meningitis"
"A879","TRUE",,"Viral meningitis, unspecified"
"A88","FALSE",,"Other viral infections of the central nervous system, not elsewhere classified"
"A880","TRUE",,"Enteroviral exanthematous fever [Boston exanthem]"
"A881","TRUE",,"Epidemic vertigo"
"A888","TRUE",,"Other specified viral infections of the central nervous system"
"A89","TRUE",,"Unspecified viral infection of the central nervous system"
"A90","TRUE",,"Dengue fever [classical dengue]"
"A91","TRUE",,"Dengue haemorrhagic fever"
"A910","TRUE",,"Dengue hemorrhagic fever  with shock (TM)"
"A911","TRUE",,"Dengue hemorrhagic fever without shock (TM)"
"A919","TRUE",,"Dengue hemorrhagic fever, unspecified (TM)"
"A92","FALSE",,"Other mosquito-borne viral fevers"
"A920","TRUE",,"Chikungunya virus disease"
"A921","TRUE",,"O'nyong-nyong fever"
"A922","TRUE",,"Venezuelan equine fever"
"A923","TRUE",,"West Nile fever"
"A924","TRUE",,"Rift Valley fever"
"A928","TRUE",,"Other specified mosquito-borne viral fevers"
"A929","TRUE",,"Mosquito-borne viral fever, unspecified"
"A93","FALSE",,"Other arthropod-borne viral fevers, not elsewhere classified"
"A930","TRUE",,"Oropouche virus disease"
"A931","TRUE",,"Sandfly fever"
"A932","TRUE",,"Colorado tick fever"
"A938","TRUE",,"Other specified arthropod-borne viral fevers"
"A94","TRUE",,"Unspecified arthropod-borne viral fever"
"A95","FALSE",,"Yellow fever"
"A950","TRUE",,"Sylvatic yellow fever"
"A951","TRUE",,"Urban yellow fever"
"A959","TRUE",,"Yellow fever, unspecified"
"A96","FALSE",,"Arenaviral haemorrhagic fever"
"A960","TRUE",,"Junin haemorrhagic fever"
"A961","TRUE",,"Machupo haemorrhagic fever"
"A962","TRUE",,"Lassa fever"
"A968","TRUE",,"Other arenaviral haemorrhagic fevers"
"A969","TRUE",,"Arenaviral haemorrhagic fever, unspecified"
"A98","FALSE",,"Other viral haemorrhagic fevers, not elsewhere classified"
"A980","TRUE",,"Crimean-Congo haemorrhagic fever"
"A981","TRUE",,"Omsk haemorrhagic fever"
"A982","TRUE",,"Kyasanur forest disease"
"A983","TRUE",,"Marburg virus disease"
"A984","TRUE",,"Ebola virus disease"
"A985","TRUE",,"Haemorrhagic fever with renal syndrome"
"A988","TRUE",,"Other specified viral haemorrhagic fevers"
"A99","TRUE",,"Unspecified viral haemorrhagic fever"
"B00","FALSE",,"Herpesviral [herpes simplex] infections"
"B000","TRUE",,"Eczema herpeticum"
"B001","TRUE",,"Herpesviral vesicular dermatitis"
"B002","TRUE",,"Herpesviral gingivostomatitis and pharyngotonsillitis"
"B003","TRUE",,"Herpesviral meningitis (G02.0*)"
"B004","TRUE",,"Herpesviral encephalitis (G05.1*)"
"B005","TRUE",,"Herpesviral ocular disease"
"B007","TRUE",,"Disseminated herpesviral disease"
"B008","TRUE",,"Other forms of herpesviral infection"
"B009","TRUE",,"Herpesviral infection, unspecified"
"B01","FALSE",,"Varicella [chickenpox]"
"B010","TRUE",,"Varicella meningitis (G02.0*)"
"B011","TRUE",,"Varicella encephalitis (G05.1*)"
"B012","TRUE",,"Varicella pneumonia (J17.1*)"
"B018","TRUE",,"Varicella with other complications"
"B019","TRUE",,"Varicella without complication"
"B02","FALSE",,"Zoster [herpes zoster]"
"B020","TRUE",,"Zoster encephalitis (G05.1*)"
"B021","TRUE",,"Zoster meningitis (G02.0*)"
"B022","TRUE",,"Zoster with other nervous system involvement"
"B023","TRUE",,"Zoster ocular disease"
"B027","TRUE",,"Disseminated zoster"
"B028","TRUE",,"Zoster with other complications"
"B029","TRUE",,"Zoster without complication"
"B03","TRUE",,"Smallpox"
"B04","TRUE",,"Monkeypox"
"B05","FALSE",,"Measles"
"B050","TRUE",,"Measles complicated by encephalitis (G05.1*)"
"B051","TRUE",,"Measles complicated by meningitis (G02.0*)"
"B052","TRUE",,"Measles complicated by pneumonia (J17.1*)"
"B053","TRUE",,"Measles complicated by otitis media (H67.1*)"
"B054","TRUE",,"Measles with intestinal complications"
"B058","TRUE",,"Measles with other complications"
"B059","TRUE",,"Measles without complication"
"B06","FALSE",,"Rubella [German measles]"
"B060","TRUE",,"Rubella with neurological complications"
"B068","TRUE",,"Rubella with other complications"
"B069","TRUE",,"Rubella without complication"
"B07","TRUE",,"Viral warts"
"B08","FALSE",,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere"
"B080","TRUE",,"Other orthopoxvirus infections (Cowpox)"
"B081","TRUE",,"Molluscum contagiosum"
"B082","TRUE",,"Exanthema subitum [sixth disease]"
"B083","TRUE",,"Erythema infectiosum [fifth disease]"
"B084","TRUE",,"Enteroviral vesicular stomatitis with exanthem"
"B085","TRUE",,"Enteroviral vesicular pharyngitis"
"B088","TRUE",,"Other specified viral infections characterized by skin and mucous membrane"
"B09","TRUE",,"Unspecified viral infection characterized by skin and mucous membrane lesions"
"B15","FALSE",,"Acute hepatitis A"
"B150","TRUE",,"Hepatitis A with hepatic coma"
"B159","TRUE",,"Hepatitis A without hepatic coma"
"B16","FALSE",,"Acute hepatitis B"
"B160","TRUE",,"Acute hepatitis B with Delta-agent (coinfection) with hepatic coma"
"B161","TRUE",,"Acute hepatitis B with Delta-agent (coinfection) without hepatic coma"
"B162","TRUE",,"Acute hepatitis B without Delta-agent, with hepatic coma"
"B169","TRUE",,"Acute hepatitis B without Delta-agent and without hepatic coma"
"B17","FALSE",,"Other acute viral hepatitis"
"B170","TRUE",,"Acute Delta-(super)infection of hepatitis B carrier"
