phl_icd10,tdrg_icd10
M189,M189
M8590/1,M8590
A809,A809
S045,S045
K031,K031
M8160/3,M8160
M198,M198
M418,M418
S623,S623
S820,S820
R104,R104
T361,T361
N973,N973
Z119,Z119
O828,O828
S701,S701
S318,S318
S410,S410
R042,R042
M9400/3,M940
N052,N052
M069,M069
S681,S681
M9961/1,M9961
M8715,M8715
Q611,Q611
S723,S723
C185,C185
O324,O324
J019,J019
B082,B082
R471,R471
O801,O801
J170,J170
M8580/3,M8580
H214,H214
S219,S219
R008,R008
H2690,H269
H2581,H258
S828,S828
S424,S424
S431,S431
T1501,T150
O630,O630
S899,S899
R001,R001
O325,O325
O366,O366
C109,C109
H578,H578
N911,N911
H4022,H402
M000/3,M000
M751,M751
S528,S528
M9084/0,M9084
M844,M844
O621,O621
N298,N298
H2150,H215
C799,C799
H1102,H110
H160,H160
K668,K668
M8785,M8785
L810,L810
L040,L040
I458,I458
N008,N008
K053,K053
H2592,H259
K073,K073
J303,J303
K589,K589
S00,S009
A170,A170
G01,G01
M674,M674
I739,I739
S626,S626
S711,S711
N488,N488
F900,F900
I440,I440
I861,I861
S058,S058
Q874,Q874
H445,H445
Z9881,Z988
M626,M626
G821,G821
K621,K621
M1096,M1096
E877,E877
H600,H600
B964,B964
Z9880,Z988
S609,S609
N969,N96
R740,R740
M10,M109
E14,E149
J381,J381
O331,O331
Z992,Z992
Q012,Q012
S81,S819
R222,R222
B379,B379
K061,K061
K051,K051
K083,K083
Z039,Z039
R05,R05
R064,R064
F419,F419
Z438,Z438
R339,R33
D213,D213
J207,J207
O159,O159
Z37,Z379
E148,E148
L309,L309
O345,O345
H590,H590
Z391,Z391
M1388,M1388
T240,T240
Z518,Z518
K317,K317
J152,J152
D022,D022
C384,C384
N801,N801
B89,B89
H251,H251
I12,I129
S824,S824
E79,E799
S5260,S5260
Z467,Z467
O329,O329
O682,O682
N760,N760
L739,L739
N908,N908
L509,L509
S7210,S7210
N764,N764
Q181,Q181
M0299,M0299
Z292,Z292
M479,M479
S6100,S610
Z9611,Z961
G80,G809
S42000,S42000
K267,K267
K121,K121
B3532,B353
E1450,E145
L970,L97
S82211,S82211
T8461,T846
K102,K102
T016,T016
S218,S218
K044,K044
S560,S560
K045,K045
K4090,K409
S52001,S52001
Z3720,Z372
O624,O624
K269,K269
O69,O699
H028,H028
Z3044,Z304
R223,R223
Q829,Q829
Z490,Z490
I845,I845
K613,K613
T08,T08
C490,C490
H353,H353
H0011,H001
R13,R13
C249,C249
H401,H401
H342,H342
H358,H358
O711,O711
K40,K409
K42,K429
H264,H264
J322,J322
J384,J384
E14286,E142
S721,S721
Z369,Z369
T147,T147
S302,S302
J383,J383
M9590/3,M959
K605,K605
H4311,H431
H3572,H357
H1100,H110
H4020,H402
N630,N63
H1002,H100
H354,H354
M199,M199
N811,N811
K2210,K221
H3531,H353
H3570,H357
H3502,H350
H3530,H353
H3341,H334
H2101,H210
H2641,H264
H2082,H208
H3141,H314
R040,R040
Z9610,Z961
H442,H442
K570,K570
D595,D595
M62838,M6283
B209,B209
O262,O262
O82,O829
C34,C349
C75,C759
M800/1,M800
H433,H433
Z379,Z379
M9391/3,M9391
N979,N979
H024,H024
M9010/0,M9010
C300,C300
D385,D385
M8040/3,M8040
N13,N139
M9430/3,M9430
R220,R220
Q825,Q825
T8402,T840
H440,H440
G804,G804
I150,I150
O0399,O039
J00,J00
C186,C186
O061,O061
C3490,C349
H2680,H268
D216,D216
M8800/0,M880
Z001,Z001
D279,D27
L975,L97
N736,N736
I31,I319
S7200,S7200
C504,C504
D289,D289
C503,C503
N804,N804
C501,C501
R161,R161
R99,R99
N4591,N459
N44,N44
K610,K610
D24,D24
S7211,S7211
C502,C502
K209,K20
L0280,L028
C751,C751
J320,J320
N401,N40
N183,N183
J0510,J051
R1900,R190
H5010,H501
H3532,H353
H2640,H264
N93,N939
C53,C539
H2681,H268
S625,S625
N18,N189
H271,H271
N181,N181
O334,O334
I84,I849
I49,I499
M800/6,M800
C50,C509
H69,H699
S031,S031
S522,S522
I714,I714
K02,K029
M8312/6,M8312
I770,I770
D316,D316
M2408,M2408
L20,L209
C508,C508
H16,H169
D110,D110
D170,D170
D224,D224
M8799,M8799
K041,K041
N751,N751
M9260/3,M926
M9064/3,M9064
Z348,Z348
C495,C495
M8800/3,M880
D763,D763
R131,R13
M678,M678
H352,H352
Z3800,Z380
O63,O639
Z3801,Z380
M1191,M1191
J339,J339
L088,L088
M760,M760
J351,J351
H210,H210
M839,M839
T14,T149
R739,R739
O610,O610
H3109,H310
Q771,Q771
I461,I461
K029,K029
O03,O039
N701,N701
D320,D320
C009,C009
H521,H521
H335,H335
O030,O030
O813,O813
T71,T71
Q371,Q371
C770,C770
H59029,H590
C11,C119
H4021,H402
K601,K601
T828,T828
S364,S364
N1835,N183
H651,H651
H447,H447
Z922,Z922
H0232,H023
C569,C56
Q644,Q644
M2179,M2179
K413,K413
C310,C310
Q381,Q381
T802,T802
L899,L899
B965,B965
C442,C442
H11221,H112
R190,R190
Z121,Z121
G407,G407
C531,C531
C85,C859
M653,M653
M8000/0,M8000
H1106,H110
N321,N321
T146,T146
N995,N995
D351,D351
H178,H178
I729,I729
H058,H058
D169,D169
O30,O309
N500,N500
H111,H111
H522,H522
H114,H114
L929,L929
D010,D010
O330,O330
C480,C480
H6690,H669
T189,T189
K388,K388
S728,S728
A184,A184
S0230,S0230
C448,C448
M3214,M321
M950,M950
R490,R490
H200,H200
N820,N820
O43,O439
Z012,Z012
K8010,K801
E1121,E112
D631,D631
H313,H313
J370,J370
O62,O629
D219,D219
H2682,H268
O8201,O820
K4391,K439
K5730,K573
H4602,H46
M664,M664
E041,E041
O822,O822
I721,I721
D380,D380
J382,J382
C439,C439
N211,N211
E113,E113
H35,H359
Z452,Z452
B378,B378
D103,D103
L97,L97
G309,G309
K626,K626
M8012/3,M8012
S729,S729
O652,O652
H181,H181
O340,O340
E1444,E144
I650,I650
R590,R590
B461,B461
G998,G998
C446,C446
H332,H332
H438,H438
T852,T852
K5720,K572
O411,O411
D249,D24
M8520/3,M8520
Z331,Z33
N359,N359
J310,J310
S863,S863
H000,H000
K62,K629
D140,D140
N20,N209
B070,B07
K57,K579
M658,M658
I844,I844
M8960/3,M8960
C91,C919
O911,O911
Q446,Q446
N802,N802
Z373,Z373
K8012,K801
O323,O323
K3580,K358
C844,C844
Z381,Z381
S825,S825
K863,K863
K629,K629
O61,O619
Z8546,Z854
H400,H400
N329,N329
H501,H501
H330,H330
O659,O659
M8617,M8617
R80,R80
K510,K510
K7031,K703
N819,N819
H059,H059
Z138,Z138
Z232,Z232
Z240,Z240
O809/080,O809
Z370/Z380,Z370
Z390/Z392,Z390
Z246,Z246
T824,T824
L891,L891
D126,D126
D125,D125
M8210/0,M8210
Z132,Z132
O0349,O034
D130,D130
M8052/0,M8052
Z130,Z130
Z135,Z135
I35,I359
I34,I349
S6264,S626
I779,I779
M4186,M4186
J181,J181
Z134,Z134
S8204,S820
S518,S518
G479,G479
M139,M139
D2239,D223
M8720/0,M8720
M791,M791
Z230,Z230
E114,E114
R33,R33
Z340,Z340
K123,K123
M4362,M4362
M9530/3,M953
M8500/,M8500
C71,C719
K625,K625
I848,I848
J328,J328
S517,S517
J20,J209
N813,N813
I510,I510
K439,K439
N0883,N088
C801,C80
D165,D165
M6298,M6298
C479,C479
I889,I889
E0591438,E059
I447,I447
S8280,S8280
M171,M171
S8200,S8200
D127,D127
K51,K519
M9044/3,M9044
S678,S678
C621,C621
T868,T868
K0735,K0735
M151,M151
K819,K819
N188,N188
E11,E119
K35,K359
H40039,H400
C184,C184
I09,I099
S354,S354
M4807,M4807
F039,F03
O831,O831
C530,C530
B99,B99
Z875,Z875
N897,N897
S4300,S4300
S0180,S018
Z305,Z305
M6584,M6584
S61,S619
Z513,Z513
T15,T159
N05,N059
I131,I131
D694,D694
S060,S060
S72901,S7290
T170,T170
T068,T068
S4092,S409
E2822,E282
S36,S369
S37,S379
T835,T835
Z304,Z304
S527,S527
Z439,Z439
N839,N839
O899,O899
M79,M799
D367,D367
I846,I846
D26,D269
Z30,Z309
Z388,Z388
S823,S823
B340,B340
P832,P832
O629,O629
I85,I859
O644,O644
M680,M680
S981,S981
M4797,M4797
K562,K562
S628,S628
F45,F459
S5220,S5220
H470,H470
H189,H189
N602,N602
E8614,E86
S912,S912
M712,M712
N171,N171
O344,O344
S52800,S5280
Q438,Q438
K6289,K628
H4089,H408
S423,S423
K930,K930
S6180,S618
L840,L84
H3300,H330
M9408,M940
C771,C771
M331,M331
A799,A799
A759,A759
Z385,Z385
N750,N750
K623,K623
R224,R224
T180,T180
A181,A181
F410,F410
K130,K130
S91302,S913
M19079,M1907
S04302,S043
J338,J338
S5311,S5311
S5281,S5281
L0311,L031
H341,H341
E1421,E142
S52601,S5260
K914,K914
K550,K550
S52400,S5240
S72401,S72401
L82,L82
D688,D688
S7241,S7241
D215,D215
D211,D211
M201,M201
I862,I862
T275,T275
E030,E030
S510,S510
F458,F458
H179,H179
S860,S860
C494,C494
U04,U049
N72,N72
G468,G468
O809/Z370,O809
M1395,M1395
O349,O349
S526,S526
O879,O879
T846,T846
S826,S826
S699,S699
H26099,H260
G467,G467
Z030,Z030
I847,I847
Z926,Z926
I102,I10
S4210,S4210
C699,C699
R918,R91
N031,N031
T183,T183
T159,T159
K911,K911
Q600,Q600
D760,D760
L900,L900
L0240,L024
M258,M258
S5271,S5271
A188,A188
K770,K770
N81,N819
N816,N816
E78,E789
H701,H701
H2605,H260
F009,F009
E739,E739
C260,C260
M234,M234
D899,D899
O3683,O368
R633,R633
S689,S689
S8250,S8250
J159,J159
H408,H408
H357,H357
O40,O40
T788,T788
T131,T131
M755,M755
O662,O662
S5240,S5240
D210,D210
S7240,S7240
S312,S312
N035,N035
M8004/3,M8004
S6261,S6261
S620,S620
S6263,S626
K229,K229
Z320,Z320
S82800,S8280
I830,I830
M541,M541
S0181,S018
M703,M703
R7301,R730
S5251,S5251
S324,S324
K862,K862
E782,E782
K611,K611
S5280,S5280
M9120/0,M9120
N182,N182
H0000,H000
R638,R638
N070,N070
S627,S627
O089,O089
O0211,O021
O693,O693
S311,S311
D6498801,D649
S935,S935
N00,N009
D440,D440
M9680/3,M968
C649,C64
N159,N159
K120,K120
B279,B279
C443,C443
O220,O220
S62802,S6280
S52411,S5241
S5241,S5241
D821,D821
J910,J91
M7501,M750
D709,D70
H618,H618
Q02,Q02
R73,R739
R068,R068
L923,L923
G470,G470
D474,D474
L249,L249
I482,I48
G464,G464
S4200,S4200
C915,C915
J0390,J039
S069,S069
S521,S521
C767,C767
Z70,Z709
J340,J340
H2711,H271
H3340,H334
O669,O669
H4310,H431
O101,O101
H3301,H330
B085,B085
I713,I713
D117,D117
H4312,H431
S422,S422
I319,I319
D237,D237
D2342,D234
H3482,H348
L732,L732
O890,O890
G319,G319
H3480,H348
R22,R229
S022,S022
S024,S024
S023,S023
E740,E740
P20,P209
I878,I878
D168,D168
M799,M799
K738,K738
K25,K259
R252,R252
C18,C189
N03,N039
J358,J358
C25,C259
L905,L905
R91,R91
H500,H500
H405,H405
Z3700,Z370
H262,H262
H4080,H408
S092,S092
L26,L26
J819,J81
A041,A041
C24,C249
M798,M798
S469,S469
D226,D226
B79,B79
N87,N879
R609,R609
K528,K528
Z3000800,Z300
B49,B49
G529,G529
M089,M089
K31,K319
N97,N979
S52611,S5261
Z900,Z900
J660,J660
L308,L308
G513,G513
S328,S328
R580,R58
Z201,Z201
K056,K056
Q379,Q379
Q630,Q630
Q602,Q602
O880,O880
H25040,H250
M8480/3,M8480
H3602,H3602
H4090,H409
H25041,H250
H3600,H3600
H3330,H333
J42,J42
O369,O369
S8231,S8231
R652,R652
R862,R862
S998,S998
B078,B07
I952,I952
T902,T902
T905,T905
Q174,Q174
Q743,Q743
Q791,Q791
K5299,K529
P032,P032
K000,K000
Q248,Q248
R827,R827
N509,N509
Z358,Z358
Z419,Z419
M200,M200
D752,D752
S6210,S6210
M8020/3,M8020
S2210,S2210
S5231,S5231
M9020/1,M9020
I427,I427
N033,N033
S520,S520
N1392,N139
N812,N812
G002,G002
T8021,T802
A180,A180
O068,O068
H1780,H178
B023,B023
H588,H588
S659,S659
D431,D431
S3990,S399
T919,T919
T915,T915
S363,S363
T923,T923
T172,T172
S8210,S8210
S3690,S3690
S3640,S3640
S3650,S3650
S3700,S3700
S3110,S311
T065,T065
C183,C183
B0820,B082
M2540,M2540
E034,E034
K133,K133
B001,B001
N320,N320
Q790,Q790
S851,S851
T904,T904
S0051,S0051
S032,S032
K765,K765
C164,C164
P200,P200
R17,R17
G563,G563
N814,N814
N498,N498
L7210,L721
S6190,S619
S6181,S618
S6101,S610
L9290,L929
J96,J969
S4241,S4241
E619,E619
D759,D759
M726,M726
J180,J180
M5386,M5386
Z350,Z350
L259,L259
Z492,Z492
O99511,O995
S054,S054
S81001,S810
S52302,S52302
S5312,S5312
S91041,S910
O3421,O342
Z3831,Z383
S91311,S913
A779,A779
B37386,B373
N771,N771
D233,D233
S119,S119
Q369,Q369
T188,T188
L980,L980
K076,K076
Z470,Z470
S313,S313
S82901,S8290
M32,M329
E40,E40
G619,G619
D229,D229
P925,P925
I252,I252
Q309,Q309
M8092/3,M8092
F819,F819
S0110,S011
S42301,S42301
T080,T080
M32186,M321
T2421,T242
M809,M809
M9531/0,M953
J1202,J120
I400,I400
E1143,E114
L539,L539
S3081,S308
S72801,S7280
Q5310,Q531
T064,T064
S059,S059
R188,R18
C800,C800
I454,I454
A059,A059
S821,S821
I700,I700
K59,K599
H527,H527
D214,D214
Q048,Q048
T833,T833
S9230,S9230
S9240,S9240
Z901,Z901
K3189,K318
G40,G409
M8441/3,M8441
M654,M654
R392,R392
C66,C66
O326,O326
S8100,S810
S068,S068
S062,S062
O081,O081
Q200,Q200
Z30017,Z300
R233,R233
E069,E069
S9250,S9250
S9681,S968
F480,F480
H025,H025
C200,C20
Z049,Z049
M9100/0,M9100
I060,I060
S6260,S6260
J011,J011
S371,S371
D282,D282
M9014/0,M9014
J45,J459
E1423,E142
C493,C493
H26090,H260
M8521/6,M852
E1430,E143
K673,K673
M402,M402
N991,N991
K604,K604
S4220,S4220
S462,S462
Z928,Z928
Z923,Z923
N971,N971
E168,E168
M21671,M2167
M8890/3,M8890
T841,T841
Z579,Z579
Q7989,Q798
Q6600,Q660
S52501,S52501
J450,J450
Z376,Z376
H939,H939
Z975,Z975
S82300,S82300
H430,H430
Q6602,Q660
N879,N879
Q6601,Q660
R31,R31
Q1201,Q120
L219,L219
N948,N948
S42300,S42300
M7510,M751
M9401/3,M940
M2202,M220
H3521,H352
H3581,H358
H3331,H333
H3541,H354
H3520,H352
H4051,H405
S561,S561
S3200,S3200
S509,S509
T250,T250
N888,N888
S0540,S054
H3420,H342
C680,C680
Q549,Q549
M8088,M8088
S52301,S52301
A59,A599
H4692,H46
M800/3,M800
M170,M170
N610,N61
E14380,E143
B59,B59
E14381,E143
D260,D260
M6534,M6534
S82101,S82101
B04,B04
P389,P38
S622,S622
B269,B269
Z280,Z280
M254,M254
E834,E834
Q531,Q531
N899,N899
A540,A540
S984,S984
H1600,H160
B049,B04
S314,S314
S807,S807
S273,S273
T1502,T150
O320,O320
O841,O841
Z430,Z430
Z930,Z930
S529,S529
B980,B980
O083,O083
K050,K050
O838,O838
H333,H333
Z933,Z933
M6248,M6248
S499,S499
J129,J129
B009,B009
K624,K624
M602,M602
J188,J188
H169,H169
D310,D310
S9991,S999
S90,S909
S82810,S8281
L0241,L024
N485,N485
N35,N359
L0312,L031
F39,F39
T013,T013
R398,R398
S3993,S399
M6596,M6596
O328,O328
O031,O031
O368,O368
A309,A309
O679,O679
E0480,E048
E0481,E048
S066,S066
R2211,R221
H605,H605
N611,N61
A15,A159
I46,I469
N994,N994
L84,L84
C850,C850
J018,J018
H3092,H309
I130,I130
M8480/6,M8480
O618,O618
P101,P101
N632,N63
D44,D449
D212,D212
M4787,M4787
R140,R14
N312,N312
M8340/3,M8340
H26,H269
K21,K219
K820,K820
M7541,M754
C08,C089
C251,C251
C252,C252
C49,C499
K400,K400
H2141,H214
N46,N46
R195,R195
M9392/3,M9392
S908,S908
E1131,E113
D319,D319
L72,L729
L400,L400
K22,K229
H34,H349
D106,D106
N84,N849
K81,K819
C67,C679
H3481,H348
M9950/3,M9950
I859,I859
I864,I864
L910,L910
M202,M202
Z931,Z931
M899,M899
M9960/1,M9960
J3800,J380
M9020/0,M9020
M1991,M1991
F4321,F4321
C724,C724
M8140/1,M8140
M8050/2,M8050
D093,D093
C41,C419
C16,C169
J343,J343
H020,H020
B079,B07
M9080/3,M9080
E133,E133
H022,H022
Z131,Z131
J386,J386
O645,O645
H045,H045
C440,C440
M8090/3,M8090
H318,H318
M9510/3,M951
S500,S500
C750,C750
D270,D27
K518,K518
C5099,C509
C3499,C349
H215,H215
J3820,J382
D3901,D390
H4081,H408
H2611,H261
Q315,Q315
M8310/3,M8310
K620,K620
D444,D444
H0210,H021
L892,L892
K29,K299
H261,H261
S026,S026
S320,S320
M146,M146
S208,S208
L538,L538
N870,N870
O6201,O620
N195,N19
O660,O660
C54,C549
C696,C696
C110,C110
I831,I831
L405,L405
Q539,Q539
M662,M662
D373,D373
O011,O011
H449,H449
M679,M679
J3501,J350
H119,H119
C020,C020
E011,E011
K263,K263
K293,K293
H5782,H578
H2692,H269
K8051,K805
K401,K401
N924,N924
D25,D259
O800/370,O800
Q370,Q370
N6019,N601
H11009,H110
C319,C319
M245,M245
C44122,C441
K2109,K210
E401,E40
H171,H171
T455,T455
T8684,T868
H40,H409
S7201,S7201
O800/Z370,O800
L729,L729
K36,K36
O810,O810
Q360,Q360
R180,R18
R230,R230
N470,N47
Q544,Q544
Q375,Q375
K402,K402
S632,S632
O309,O309
T18,T189
S929,S929
L988,L988
Q411,Q411
N137,N137
Q180,Q180
O6010800,O601
M8144/3,M8144
E078,E078
C574,C574
Z9049,Z904
H351,H351
A449,A449
M47,M479
C222,C222
H349,H349
C059,C059
K2970,K297
N889,N889
O224,O224
C677,C677
O9981,O998
L208,L208
G239,G239
S8199,S819
S0111,S011
S8191,S819
Z3080,Z308
S6191,S619
M219,M219
M796,M796
N26,N26
C792,C792
H041,H041
L930,L930
S82500,S8250
O655,O655
P95,P95
Q253,Q253
K5732,K573
S501,S501
K2900,K290
R0902,R090
M419,M419
D331,D331
M8000/,M8000
C209,C20
I460,I460
R103,R103
S9110,S911
C472,C472
Q410,Q410
P768,P768
S5671,S567
E849,E849
Z9921,Z992
S2110,S211
N959,N959
B820,B820
H26491,H264
I410,I410
S300,S300
P769,P769
E103,E103
S724,S724
S408,S408
C441,C441
R091,R091
D761,D761
O06,O069
C729,C729
D379,D379
M215,M215
S800,S800
S72309,S72309
E8809,E880
S62309,S6230
N050,N050
C154,C154
T151,T151
T799,T799
K294,K294
J4390,J439
J0600,J060
P269,P269
T2500,T250
T2401,T240
Z9920,Z992
X11,X11
C809,C809
N631,N63
S231,S231
M8013/3,M8013
S683,S683
Z3491,Z349
S930,S930
Z3730,Z373
O664,O664
S82210,S82210
M6295,M6295
M8696,M8696
S002,S002
S337,S337
B451,B451
G021,G021
S335,S335
E118,E118
A539,A539
J219,J219
K1370,K1370
J3489,J348
E329,E329
T543,T543
E896,E896
Z939,Z939
S8212,S821
H26091,H260
L859,L859
M710,M710
G255,G255
K052,K052
S400,S400
J810,J81
M19072,M1907
E1152,E115
S91102,S911
D1723,D172
M1038,M1038
M8430/3,M8430
S562,S562
Z234,Z234
O350,O350
D4871,D487
S8101,S810
D4850,D485
E1451,E145
N2001,N200
E102,E102
H0012,H001
R498,R498
M766,M766
S8240,S8240
J955,J955
S91212,S912
S428,S428
T393,T393
R629,R629
D391/M8000/1,D391
P610,P610
T886,T886
H932,H932
H5221,H522
M6539,M6539
N23,N23
Q61,Q619
H2609,H260
D123,D123
D069,D069
I771,I771
M795,M795
T818,T818
L928,L928
N301,N301
O432,O432
R69,R69
S9251,S9251
S9232,S923
C689,C689
G901,G901
H1121,H112
H1120,H112
B010,B010
M856,M856
S029,S029
M472,M472
L601,L601
K134,K134
O142,O142
I330,I330
D294,D294
S635,S635
T829,T829
N648,N648
A288,A288
K035,K035
E8351,E835
S8181,S818
S921,S921
S0003,S000
J341,J341
J32,J329
O063,O063
T185,T185
M6516,M6516
I480,I48
S8214,S821
Q182,Q182
T222,T222
S829,S829
S1600,S16
C839,C839
M9681/3,M968
I718,I718
Z458,Z458
L0330,L033
Z374,Z374
C945,C945
O0640,O064
J918,J91
S361,S361
N852,N852
E14386,E143
I300,I300
B161,B161
S369,S369
O002,O002
T611,T611
T815,T815
E031,E031
J312,J312
N100,N10
K929,K929
M7910,M7910
H250,H250
T830,T830
I091,I091
G451,G451
I20,I209
R572,R572
J182,J182
M792,M792
M840,M840
M8050/0,M8050
O42,O429
M009,M009
K220,K220
S624,S624
Z34,Z349
K921,K921
E144,E144
M622,M622
N2002,N200
Z801,Z801
R961,R961
S0130,S013
J120,J120
C437,C437
G919,G919
M8120/1,M8120
S3220,S3220
S3280,S3280
C343,C343
M9950/1,M9950
D164,D164
N7093,N709
H184,H184
S211,S211
J850,J850
S801,S801
P2001,P200
H0010,H001
N96,N96
M9506/0,M950
I731,I731
M9970/1,M9970
D479,D479
H356,H356
S971,S971
E0411,E041
M6288,M6288
E040,E040
C929,C929
K26,K269
K52,K529
N259,N259
M8590/3,M8590
S798,S798
S197,S197
S3991,S399
T7199,T71
N8500,N850
R048,R048
K5641,K564
B012,B012
M7988,M7988
S308,S308
E1122,E112
Q351,Q351
F069,F069
S42,S429
D467,D467
S8081,S8081
N912,N912
S79,S799
S799,S799
O050,O050
O0391,O039
R478,R478
S62400,S6240
L080,L080
H113,H113
E079,E079
S004,S004
B770,B770
K938,K938
M2500,M2500
M8018/0,M8018
H663,H663
H71,H71
S8260,S8260
C321,C321
S72911,S7291
I649,I64
S42001,S42001
K281,K281
T711,T71
D371,D371
M842,M842
P005,P005
H1132,H113
T301,T301
M8333/0,M8333
S4071,S407
R066,R066
G551,G551
L0333,L033
E010,E010
A409,A409
H055,H055
I879,I879
F028,F028
R162,R162
S52000,S52000
R599,R599
M9061/3,M9061
K4031,K403
S9085,S908
R198,R198
S52701,S5270
Z908,Z908
S117,S117
J410,J410
M8449,M8449
B369,B369
K261,K261
K227,K227
G408,G408
K7689,K768
J353,J353
S42400,S42400
I776,I776
Z3043,Z304
R911,R91
L109,L109
Q373,Q373
Q378,Q378
S617,S617
S325,S325
Q3691,Q369
B651,B651
M722,M722
M86661,M8666
M8003/1,M8003
D582,D582
Q203,Q203
I778,I778
A170601,A170
F319,F319
Q512,Q512
I411,I411
M9121/0,M912
S607,S607
H3571,H357
T145,T145
T380,T380
I516,I516
A022,A022
O849,O849
M073,M073
L983,L983
L23,L239
Q828,Q828
A711,A711
K1120,K112
M316,M316
S920,S920
F20,F209
B354,B354
L700,L700
N328,N328
H209,H209
H105,H105
H112,H112
H161,H161
M532,M532
N368,N368
S067,S067
P298,P298
L570,L570
D049,D049
S118,S118
D739,D739
K903,K903
S2720,S2720
S5201,S5201
M1992,M1992
M1993,M1993
H619,H619
O460,O460
Z570,Z570
L738,L738
O832,O832
S3720,S3720
S661,S661
L978,L97
H1680,H168
K420,K420
H1681,H168
F23,F239
L979,L97
A151,A151
S8230,S8230
M859,M859
Z960,Z960
M255,M255
L8932,L893
B189,B189
N0838,N083
L3092,L309
N082,N082
M4809,M4809
S373,S373
S203,S203
S761,S761
D485,D485
Z800,Z800
C380,C380
T797,T797
D809,D809
N849,N849
A811,A811
G628,G628
D234,D234
N907,N907
R7303,R730
E11351,E113
Z3700800,Z370
S762,S762
H5213,H521
C02,C029
D46,D469
R92,R92
I2511,I251
I1011,I10
O45,O459
B37,B379
K602,K602
D167,D167
C181,C181
F442,F442
Q760,Q760
H309,H309
O045,O045
O723,O723
C140,C140
J68,J689
S0241,S0241
C15,C159
S564,S564
I401,I401
P546,P546
C161,C161
J35,J359
M008,M008
D3811,D381
T2502,T250
D242,D24
L281,L281
S468,S468
C1818,C181
E1436,E143
O653,O653
K627,K627
M8330/3,M8330
K551,K551
Q605,Q605
H35419,H354
L059,L059
H25,H259
M8200/3,M8200
M711,M711
E853,E853
L982,L982
S6690,S669
M8900/3,M8900
H729,H729
M8011/3,M8011
O809370,O809
C838,C838
Z3700680,Z370
Z3700688,Z370
J958,J958
H3320,H332
C37,C37
I63,I639
M864,M864
M7981,M7981
C150,C150
T173,T173
Z980,Z980
H355,H355
H359,H359
N392,N392
T822,T822
D235,D235
Z431,Z431
D439,D439
E061,E061
N949,N949
S4201,S4201
O209,O209
Z37092600,Z370
H021,H021
L819,L819
J359,J359
Q401,Q401
A0109,A010
J1532,J153
K612,K612
M7288,M7288
P0501,P050
H40221,H402
H2600,H260
C845,C845
D050,D050
M8522/2,M852
I,I
H2522,H252
M7995,M7995
H8139,H813
S660,S660
D0510,D051
E1432,E143
B9562,B956
E1431,E143
P00000,P000
T568,T568
A009,A009
H3500,H350
M128,M128
R748,R748
O0394,O039
C049,C049
C370,C37
M608,M608
H6189,H618
D531,D531
I132,I132
K75,K759
P702,P702
Q396,Q396
R960,R960
R53,R53
C540,C540
C44,C449
M533,M533
H59022,H590
T411,T411
T162,T16
Q899,Q899
H26492,H264
H4010,H401
M1004,M1004
S602,S602
H104,H104
G589,G589
S06400,S0640
S0581,S058
S0191,S019
S0010,S001
S0081,S008
S0011,S001
K054,K054
D046,D046
Z434,Z434
S72001,S72001
N4330,N433
P1281,P128
M62,M629
F890,F89
D6109,D610
B088,B088
N958,N958
C962,C962
K43,K439
P248,P248
S429,S429
T825,T825
A099/E81,A099
O800/E861,O800
F010,F010
C431,C431
E8881,E888
J302,J302
M2506,M2506
M241,M241
C902,C902
C942,C942
I441,I441
D033,D033
E639,E639
Z3807,Z380
T839,T839
M8694,M8694
C714,C714
T198,T198
R2242,R224
D2120,D212
R788,R788
H659,H659
C9100,C910
R700,R700
Z332,Z33
C258,C258
T819,T819
M79950,M7995
H8110,H811
R21,R21
F89,F89
D593,D593
D692,D692
L049,L049
O6981,O698
K661,K661
S72400,S72400
S62801,S6280
C560,C56
J9849,J984
R919,R91
S7111,S711
M190,M190
J811,J81
S61022,S610
H919,H919
S09,S099
O103,O103
N088,N088
M650,M650
K109,K109
K928,K928
I058,I058
T859,T859
D731,D731
M6597,M6597
S51811,S518
Z480,Z480
Z38017,Z380
S5210,S5210
Z468,Z468
Z30012,Z300
K701,K701
N603,N603
G600,G600
S210,S210
D47,D479
E743,E743
Z090,Z090
S228,S228
S129,S129
D121,D121
O8090601,O809
J902,J90
M628,M628
G958,G958
R802,R80
M872,M872
M841,M841
T796,T796
H103,H103
A601,A601
S315,S315
S52401,S5240
S52502,S52502
K2960,K296
O628,O628
O338,O338
E8352,E835
E1140,E114
T290,T290
S1171,S117
B002,B002
R59,R599
C50919,C509
O32,O329
R098,R098
S497,S497
M80103,M8010
S02208,S0220
Z950,Z950
H0451,H045
H5220,H522
H5990,H599
Z3830,Z383
B956,B956
M438,M438
S365,S365
R074,R074
O450,O450
T874,T874
J204,J204
S220,S220
O14,O149
M6098,M6098
Z36,Z369
I494,I494
M161,M161
M7989,M7989
S636,S636
O000,O000
O02,O029
P834,P834
F411,F411
Q430,Q430
S8241,S8241
S1291,S1291
G8190,G819
S5200,S5200
M2538,M2538
C830,C830
N164,N164
E8613,E86
H3609,H3609
K316,K316
I868,I868
M4312,M4312
I743,I743
J452,J452
S427,S427
M707,M707
E13,E139
C268,C268
I088,I088
P375,P375
P711,P711
T914,T914
S109,S109
S2700,S2700
B351,B351
M0686,M0686
S0080,S008
I603,I603
P021,P021
I6340,I634
H5230,H523
H310,H310
H2780,H278
